date,home_team,away_team,venue,home_score,away_score
2023-01-15,Boston Celtics,Chicago Bulls,TD Garden,114,98
2023-01-17,Los Angeles Lakers,Houston Rockets,Crypto.com Arena,121,115
2023-01-20,Golden State Warriors,Brooklyn Nets,Chase Center,124,116
2023-01-22,Milwaukee Bucks,Atlanta Hawks,Fiserv Forum,117,114
2023-01-25,Miami Heat,Philadelphia 76ers,FTX Arena,108,112
2023-01-28,Denver Nuggets,Dallas Mavericks,Ball Arena,127,124
2023-01-30,Phoenix Suns,Toronto Raptors,Footprint Center,112,105
2023-02-02,New York Knicks,Orlando Magic,Madison Square Garden,102,98
2023-02-05,Los Angeles Clippers,Cleveland Cavaliers,Intuit Dome,118,109
2023-02-08,Boston Celtics,Toronto Raptors,TD Garden,125,119
2023-02-12,Memphis Grizzlies,Golden State Warriors,FedExForum,104,101
2023-02-15,Phoenix Suns,Los Angeles Lakers,Footprint Center,120,130
2023-02-18,Denver Nuggets,Sacramento Kings,Ball Arena,115,106
2023-02-22,Milwaukee Bucks,Miami Heat,Fiserv Forum,122,108
2023-02-25,Boston Celtics,Philadelphia 76ers,TD Garden,129,133
